Messzeitpunkt;Verbrauch (kWh);Qualität;
02.01.2024 18:00;0,577000;G;
02.01.2024 18:15;0,264000;G;
02.01.2024 18:30;0,102000;G;
02.01.2024 18:45;0,117000;G;
02.01.2024 19:00;0,128000;G;
02.01.2024 19:15;0,119000;G;
02.01.2024 19:30;0,098000;G;
02.01.2024 19:45;0,080000;G;
02.01.2024 20:00;0,099000;G;
02.01.2024 20:15;0,077000;G;
02.01.2024 20:30;0,126000;G;
02.01.2024 20:45;0,121000;G;
02.01.2024 21:00;0,113000;G;
02.01.2024 21:15;0,111000;G;
02.01.2024 21:30;0,089000;G;
02.01.2024 21:45;0,083000;G;
02.01.2024 22:00;0,092000;G;
02.01.2024 22:15;0,090000;G;
02.01.2024 22:30;0,083000;G;
02.01.2024 22:45;0,088000;G;
02.01.2024 23:00;0,081000;G;
02.01.2024 23:15;0,089000;G;
02.01.2024 23:30;0,081000;G;
02.01.2024 23:45;0,080000;G;
03.01.2024 00:00;0,086000;G;
